Distance,Bin,Corpus
3.969850181911907,1,Change
3.8781017745857316,2,Change
3.8207578394319888,3,Change
3.3283637729570663,4,Change
2.9824987684787065,5,Change
3.969850181911907,1,Control
3.97093024905097,2,Control
3.977752646759348,3,Control
3.961047697552883,4,Control
3.961046728852867,5,Control
